str_no_string|NO STRING!
str_npc_fred_to_player_e|Проклятье ада! Майн генерал, отсутствие воинской Дисциплины в этом... это... Чернь! это ужас! Майн генерал, вы должны заставить их вести себя как надлежащие убер-золдатен, потому что сейчас они ведут себя как фертфлюх мистерменш, как настоящие сволочи!
str_npc_ediz_to_player_e|Если бы было больше таких, как сэр Рейн, в нашем отряде, я был бы доволен. Вы должны уделять внимание к формированию подразделения, исключая тех, кто бесчестен и не имеет боевых навыков.
str_npc_sara_to_player_e|Капитан, я клянусь, что если кто-нибудь из этого отряда решит прочитать мне лекцию о морали, я разнесу ему голову своим клинком. Я устала от лицемеров, которые больше ни на что не способны, кроме как трепать своим языком!
str_npc_donavan_to_player_e|Когда вы сказали, что ваша братия дисциплинирована и обучена, я думал, что смогу помочь вам. Если вы не восстановите мой авторитет среди них, когда я даю приказания, этот отряд так и останется недисциплинированной толпой.
str_npc_diev_to_player_e|Всякий раз, когда я думаю, что наше дело безнадежно, капитан, я думаю о людях, таких как Лесли. Она и подобные ей те, кто нуждается в защите, порядочные, честные люди, которые просто хотят заработать на жизнь без страха и тирании. Она дает мне надежду.
str_npc_alyssa_to_player_e|Вы слишшшком добросердечны для настоящщщего командира. Почему вы слушшшаетесь этих бесполезных свинопасов? Возьмите мешшшок и наберите в деревне то, что вам нужно, я говорю!
str_npc_roland_to_player_e|Капитан, я знаю, что вы иногда в отчаянии перед задачей, стоящей перед вами, и очень удивляетесь, когда можете добиться успеха. Держите хвост по ветру. Даже в этом ужасном мире, в конечном итоге добро должно победить зло. Вы никогда не должны сдаваться.
str_npc_kaverra_to_player_e|Капитан, как на счет словить еще нескольких из этих ванскеррийских ублюдков? Я еще не насытилась их убийством. Кто знает, когда у меня еще будет шанс, но я могу попробовать!
str_npc_siggy_to_player_e|Я чувствую запах, крестьянский дух, я знаю, что деревня там. Не могу поверить, я скучаю по пахоте, этот запах заставляет меня тосковать по деревне, это словно кусочек моей родины...
str_npc_boadice_to_player_e|Когда я верну себе трон Виккавии, я думаю, что вернусь в Пендор и сделаю какой-нибудь целесообразный закон по отношению к непокорному обществу. Я не могу поверить, что они позволяют их людям бегать вокруг некастрированным и фактически позволяют им занимать высокие чины. Дела в Пендоре пойдут гораздо лучше, если это исправить.
str_npc_adonja_to_lord_f|Сейчас он говорит с вами вежливо, но как только вы сделаете, что он хочет, он поменяет свой тон.
str_npc_leslie_to_lord_f|Капитан, помните, что первое предложение - только чтоб прицениться. Посмотрите, что еще предлагают, прежде чем вы заключите сделку.
str_npc_ansen_to_lord_f|Только посмотрите на его красный нос и брюхо, капитан! Такие бухают и жрут похлеще, чем воюют, думаю, что у него может быть подагра. Ептыть, да он похоже еще и вшивый.
str_npc_riva_to_lord_f|Капитан, вам следует прислушаться к словам этого лорда. К любому человеку его ранга следует относиться уважительно и подчиняться ему.
str_npc_kassim_to_lord_f|Капитан, этот человек ничего собой не представляет и не подходит вам, или точнее, нашему отряду, чтоб присоединиться.
str_npc_lethaldiran_to_lord_f|Капитан, я мог бы устранить его в один миг, так, что никто даже не поймет, как это произошло. Только скажите.
str_npc_jocelyn_to_lord_f|Эти требования вполне разумны и благородны. Я призываю вас соблюдать пожелания милорда.
str_npc_alistair_to_lord_f|Я не могу понять возражения этого парня по поводу нескольких убитых селян, хотя возможно, их долги не выплачены или он изнемогает от попыток сельчан женить его на девках.
str_npc_rayne_to_lord_f|Остерегайтесь лордов, их приспешников и их коварных схем, капитан. Многие попадают в беду!
str_npc_julia_to_lord_f|Капитан, если мы будем бегать на побегушках у лордов, только сами Боги знают, в какие неприятности мы попадем! Лучше взять их в плен и заставить плясать их под вашу дудку!
str_npc_fred_to_lord_f|Эти господа Пендора, кажется, всегда ставили свои собственные мелкие цели как раз накануне процветания своих поместий. Я не понимаю такой глупости.
str_npc_ediz_to_lord_f|У нас нет лордов среди сингалийцев. Последнего мы убили еще более ста лет назад.
str_npc_sara_to_lord_f|Я провела много времени в королевских дворах Пендора. Капитан, постарайся вести себя соответствующе. Не подобает лорду вести себя грубо.
str_npc_donavan_to_lord_f|Его цели наверняка превышают возможности его кошелька. Затребуйте плату вперед, и посмотрим, что он скажет. Мне кажется, что он будет хвастать, но не придет с золотом.
str_npc_diev_to_lord_f|Осторожней, ты можешь привыкнуть позволять лорду быть лордом.
str_npc_alyssa_to_lord_f|Этот лорд дурак! Я бы игнорировала его на вашем мессте. Он сслишком глуп, чтобы восспринимать его вссерьез!
str_npc_roland_to_lord_f|Возможно, он говорит правду, капитан, хотя я все еще сомневаюсь. Будьте осторожны со своими обещаниями ему.
str_npc_kaverra_to_lord_f|Хм, если бы я была на вашем месте, капитан. Я бы вообще не обращала внимания на него. Мой дед говорил, что лорды не более чем лжецы.
str_npc_siggy_to_lord_f|Еще один лорд просит об услуге. Вас не утомило, удовлетворять их прихотям? Меня утомило.
str_npc_boadice_to_lord_f|Эти патетические оправдания лордов Пендора столь же слабоумны, сколь и претенциозны. Расправьтесь с ними по-быстрому, они вам не нужны.
str_comment_cunning_fierds_hall|Я надеюсь, вы пришли с хорошими намерениями. Если так - можно поговорить.
str_comment_cunning_fierds_map|Выглядишь закаленн{reg63?ым:ой} войной, и если ты закален{reg63?:а}, то все эти сражения могут принести больше, чем просто царапины и мелкую добычу.
str_comment_cunning_sar_hall|Вы подаете надежды, а под моим командованием вы станете больше, чем просто бандит.
str_comment_cunning_sar_map|У вас вид человека с сильной волей, но не имеющего цели. Я могу дать вам эту цель.
str_comment_cunning_empire_hall|В отличие от других командиров, я совсем не использую странных незнакомцев.
str_comment_cunning_empire_map|У незнакомца могут быть скрытые мотивы, но эти скрытые мотивы просто могут совпадать с моими собственными.
str_comment_cunning_dshar_hall|Я приветствую вас, если вы придерживаетесь целей Д'Шар.
str_comment_cunning_dshar_map|Возможно, ваше присутствие здесь окажется для меня полезным.
str_comment_cunning_rav_hall|Это место не для такого политика, как я. Люди простые, все законы писаны на камне. Хотя посторонний человек, вроде тебя, мог бы изменить положение.
str_comment_cunning_rav_map|Они говорят, что незнакомец может оказаться полезным в тяжелые времена... - Давайте послушаем, что вы скажете.
str_comment_upstanding_fierds_hall|Друг мой, какой редкий случай, это честь для меня, находиться рядом с тобой.
str_comment_upstanding_fierds_map|Какая честь! Я знаю о многих ваших триумфах и считаю вас своим учителем в искусстве войны.
str_comment_upstanding_sar_hall|Друг мой, какое счастье, что ты рядом. Мои люди радостно кричали, только увидев тебя, направляющ{reg63?егося:уюся} к нам.
str_comment_upstanding_sar_map|Для меня большая честь греться в свете вашего присутствия.
str_comment_upstanding_empire_hall|Хотя вы и стремитесь получить гражданство в Империи, оно редко достается таким, как вы. Я бы советовал вам пойти в другое место.
str_comment_upstanding_empire_map|Кстати, вот дружественный маленький совет: если вы видите нолдора - бегай, не ходи!
str_comment_upstanding_dshar_hall|Приветствую, незнаком{reg63?ец:ка}. Говори, с чем пожаловал{reg63?:а}.
str_comment_upstanding_dshar_map|Я разрешу тебе путешествовать по моим землям с миром, но если ты ограбишь мою деревню или навредишь моему народу, я убью тебя!
str_comment_upstanding_rav_hall|Мы собрались здесь, чтобы планировать уничтожение наших врагов. Но прежде надо помолиться за их бессмертные души.
str_comment_upstanding_rav_map|Ну вот и встретились, дружок. Идите с миром и мои люди не тронут вас!
str_comment_martial_fierds_hall|С такой-то надменностью, радуйся, что мое оружие в ножнах! Говори, что тебе надо, и уходи отсюда.
str_comment_martial_fierds_map|Ты, похоже, {reg63?опытный воин:опытная воительница}, и, если я буду уверен, что наши враги боятся тебя, я скажу: 'Добро пожаловать'.
str_comment_martial_sar_hall|То, что ты не держишь оружие в руках, говорит только о твоем безрассудстве... И о том, как легко я мог бы раздавить тебя.
str_comment_martial_sar_map|Мои разведчики сообщили мне, что ты приехал{reg63?:а}, но я не принял никаких мер предосторожности, видя только тебя одн{reg63?ого:у}.
str_comment_martial_empire_hall|В Империи проступки чужеземцев так просто им с рук не сходят. Советую вам прислушаться ко мне, пока вы здесь.
str_comment_martial_empire_map|Приветствую! Кто это ходит по моим землям без моего разрешения?
str_comment_martial_dshar_hall|Если ты пытал{reg63?ся:ась} отыскать земли Д'Шар, думаю, ты наш{reg63?ел:ла} их.
str_comment_martial_dshar_map|Мы, народ Д'Шар, не воспринимаем всерьез посягательства на наши земли.
str_comment_martial_rav_hall|Ах, эти стены вдохновляют меня. Здесь я бы лучше встретил врага, чем друга!
str_comment_martial_rav_map|Излагай что хотел{reg63?:а}, да побыстрее, либо отойди в сторону.
str_comment_sadistic_fierds_hall|Я вижу, что тебя поранили в боях. Если бы мне не было наплевать на тебя, то я приказал бы, чтобы мой хирург осмотрел тебя, но увы...
str_comment_sadistic_fierds_map|Да, что это? Говори быстрей, пока мои мужики не использовали тебя в качестве мишени.
str_comment_sadistic_sar_hall|Ты валишься от усталости после своих приключений, и я полагаю, что ты очень хочешь пить. Там есть озеро неподалеку. Пожалуйста.
str_comment_sadistic_sar_map|Пожалуйста, нет проблем! Я давлю людей так же легко, как ты - мух.
str_comment_sadistic_empire_hall|Пока ты здесь, почему бы тебе не сходить и не сразится с культом Змеи? По крайней мере, так ты бы был{reg63?:а} хоть как-то полез{reg63?ен:на} Империи.
str_comment_sadistic_empire_map|Если я узнаю, что ты шпион этих проклятых дикарей Д'Шар, то я убью тебя на месте.
str_comment_sadistic_dshar_hall|Возможно, ты уже слышал{reg63?:а}, что я зарежу любого, кто грабит или совершает набеги на моей территории. Не забывай это.
str_comment_sadistic_dshar_map|Что именно вы ищете здесь?
str_comment_sadistic_rav_hall|Ах, вы пропустили замечательную охоту сегодня утром. Я выехал на своих лучших жеребцах, взял своих лучших собак. Все же поверьте? Девушка ушла!
str_comment_sadistic_rav_map|Я предполагаю, что вы нашли меня по череде сожженных деревень? Да, мои парни были хладнокровны.
str_comment_pitiless_fierds_hall|Итак, ты од{reg63?ин:на} тут ошиваешься по окрестностям, прямо как бандит. Говорить можешь?
str_comment_pitiless_fierds_map|Я слышал о вашем последнем сражении, и я удивлен тому, что вы можете стоять без поддержки.
str_comment_pitiless_sar_hall|Стойло вон там. И пока ты там будешь, хорошенько почисти мой сортир вдобавок.
str_comment_pitiless_sar_map|Мое время дорого. С утра, пока ты просыпал{reg63?ся:ась}, я уже успел съесть горячий завтрак и вымуштровать своих людей, так что поторопись.
str_comment_pitiless_empire_hall|Если вы доставите проблемы Империи, наши легионеры проследят за тем, чтобы вы были наказаны немедленно.
str_comment_pitiless_empire_map|Ты держишься храбрецом. Интересно, как ты будешь выглядеть, когда культ Змеи и нолдоры покончат с тобой...
str_comment_pitiless_dshar_hall|И кто вы так{reg63?ой:ая}, что ворвались в мои чертоги без приглашения?
str_comment_pitiless_dshar_map|Я полагаю, у вас есть отличное оправдание вашему присутствию здесь?
str_comment_pitiless_rav_hall|Я начинаю уставать. Даже издевательства над слугами не могут поднять мне настроение.
str_comment_pitiless_rav_map|Полагаю, вы пришли просить помощи, как и любой другой беженец?
str_comment_quarrelsome_fierds_hall|Я убил много кабанов! В сравнении с ними ты слабоват{reg63?:а}, да и бежать так же быстро ты не в состоянии...
str_comment_quarrelsome_fierds_map|Они говорят, что я убиваю для забавы, но ты слышишь, как я смеюсь?
str_comment_quarrelsome_sar_hall|Ты - не {reg63?тот:та}, кому можно верить, а я - не тот, кого можно обмануть. Излагай свое поручение и исчезни.
str_comment_quarrelsome_sar_map|Возможно, когда-нибудь мы встретимся на турнире. В бою с тупым оружием я делаю такие вещи, которые тебе не захочется испробовать на своей шкуре.
str_comment_quarrelsome_empire_hall|Мы, имперцы, не выносим общения с такими отбросами, как ты. Излагай свое дело и проваливай.
str_comment_quarrelsome_empire_map|Ты можешь покинуть наши земли и отправиться в Империю. Нам не нужно, чтоб ты и дальше распространял{reg63?:а} свою вонь на наших землях. И, кстати, сходи помыться.
str_comment_quarrelsome_dshar_hall|Если ты здесь шпионишь на Империю, твоя жизнь окажется очень короткой.
str_comment_quarrelsome_dshar_map|Зачем ты вторг{reg63?ся:лась} на территорию Д'Шар?
str_comment_quarrelsome_rav_hall|Это напоминает мне то, как сильно мы приблизились к варварству, когда я вижу, что такие, как ты, обращаются к лорду.
str_comment_quarrelsome_rav_map|Не трать мое время, деревенщина! Если я почувствую острую необходимость в бесполезном трепе, я спрошу у моей жены: 'Как дела?'
str_comment_goodnatured_fierds_hall|Если ты позволишь Талии Вер Шурес присоединиться к твоему отряду, то от нее будет всюду веять красотой и обаянием, куда бы ты ни направил{reg63?ся:ась}.
str_comment_goodnatured_fierds_map|Мой друг, ты выглядишь весьма здоров{reg63?ым:ой}. О, да у тебя все еще остались зубы?!
str_comment_goodnatured_sar_hall|Приветствую, дражайший союзник! Что скажешь?
str_comment_goodnatured_sar_map|Я вижу, твое здоровье крепко и глаза полны огня. Говори свободно.
str_comment_goodnatured_empire_hall|Я скажу не более, чем просто 'добро пожаловать', но не причиняй вреда на моих землях, и я не причиню вреда тебе.
str_comment_goodnatured_empire_map|Мне больше по душе мир, нежели война, но это не значит, что я буду терпеть любые вторжения на мою территорию.
str_comment_goodnatured_dshar_hall|Как лорд Д'Шар, я рад приветствовать вас.
str_comment_goodnatured_dshar_map|Мы, Д'Шар, заботимся о наших гостях как подобает, если они ведут себя подобающе.
str_comment_goodnatured_rav_hall|Должен признать, обычно я не засиживаюсь на военных советах. Ахх, сейчас бы еще пару бочек эля... Нет, лучше три!
str_comment_goodnatured_rav_map|Рад приветствовать, путешествуешь в одиночку, а? А нет ли у тебя времени остановиться и пропустить по глоточку?
str_comment_intro_liege_affiliated|Говорят, что вы сочувствуете одному из претендентов, который оспаривает мое право на трон Пендора. Мы еще поговорим об этом.
str_comment_intro_famous_liege|Ваша слава опережает вас! Настало время найти господина, достойного вашей доблести.
str_comment_intro_famous_martial|Ваша слава опережает вас! Самое время испытать друг друга в турнире или на поле боя!
str_comment_intro_famous_badtempered|Я слышал о вас. Ладно, я не прочь перекинуться парой слов, если вам есть что сказать.
str_comment_intro_famous_pitiless|Я знаю ваше имя. Оно сеет ужас в сердцах людей. Это хорошо. Думаю, нам стоит поговорить.
str_comment_intro_famous_cunning|Ах, да. Наконец мы встретились. Вы известны как хороший человек. Мы можем беседовать время от времени.
str_comment_intro_famous_sadistic|Я знаю ваше имя. И по слухам, многие скорбящие вдовы его тоже знают. Но это не моя забота.
str_comment_intro_famous_goodnatured|Я слышал о вас! Хорошо, что мы, наконец, познакомились.
str_comment_intro_famous_upstanding|Я знаю ваше имя. Все говорят, что вы очень храбр{reg63?ый воин:ая воительница}. Я могу только надеяться, что ваша честь и милосердие соответствуют вашей доблести.
str_comment_intro_noble_liege|Я вижу над вами дворянский флаг, хоть и не узнаю эмблему. Но знайте, что я всегда ищу хороших бойцов, если они достойны моего доверия.
str_comment_intro_noble_martial|Я вижу над вами дворянский флаг, хоть и не узнаю эмблему. Может быть, однажды нам придется проверить доблесть друг друга в турнире или на поле боя!
str_comment_intro_noble_badtempered|Я не узнаю эмблему на вашем флаге. Наверняка очередн{reg63?ой:ая} инозем{reg63?ец:ка} приш{reg63?ел:ла} в наши края, как будто только {reg63?его:ее} нам и не хватало.
str_comment_intro_noble_pitiless|Я вижу над вами дворянский флаг, хоть и не узнаю эмблему. Наверняка очередн{reg63?ой:ая} стервятни{reg63?к:ца} приш{reg63?ел:ла} поживиться падалью на полях войны!
str_comment_intro_noble_cunning|Я вижу над вами дворянский флаг, хоть и не узнаю эмблему. Всегда полезно завязать знакомство с человеком, который может оказаться великим воином.
str_comment_intro_noble_sadistic|Я вижу дворянский флаг, хоть и не узнаю эмблему. Может быть, ты внебрачный ребенок какого-нибудь напыщенного самозванца? Или ты украл{reg63?:а} его?
str_comment_intro_noble_goodnatured|Я вижу над вами дворянский флаг, хоть и не узнаю эмблему. Простите мое невежество, {reg63?сэр:мадам}! Было бы хорошо с вами познакомиться.
str_comment_intro_noble_upstanding|Я вижу над вами дворянский флаг, хоть и не узнаю эмблему. Без сомнения, вы прибыли сюда в поисках богатства и славы. Если это действительно так, то я только прошу снисхождения к тем несчастным, которых вы встретите на военном пути.
str_comment_intro_common_liege|Возможно, вы простолюдин, но я всегда ищу хороших бойцов, если они достойны моего доверия.
str_comment_intro_common_martial|Возможно, вы не благородного происхождения, но если вы человек чести, то я был бы рад испытать вашу доблесть в турнире или на поле боя.
str_comment_intro_common_badtempered|Говори быстро, если есть что сказать. У меня нет времени на болтовню с простыми солдатами удачи.
str_comment_intro_common_pitiless|У тебя вид наемника, еще один стервятник пришел поживиться падалью на полях войны.
str_comment_intro_common_cunning|Так... Я тебя не знаю, но у тебя вид человека, который со временем будет что-то из себя представлять.
str_comment_intro_common_sadistic|Обычно я режу глотки наглым смердам, осмелившимся явиться без приглашения, но сегодня у меня хорошее настроение.
str_comment_intro_common_goodnatured|Что ж, вы выглядите достаточно хорошо.
str_comment_intro_common_upstanding|Мир вам, и смягчайте свою храбрость милосердием, а отвагу - честью.
str_comment_intro_female_famous_liege|О ваших подвигах ходит множество слухов. Некоторые мужчины боятся женщин, знакомых с военным делом. Но мне не важно, держали ли ваши руки меч. Лишь бы сердце ваше было верным и отважным.
str_comment_intro_female_famous_martial|Слухами о ваших делах земля полнится. Говорят, что вы не уступаете храбрейшим из мужчин и блестяще владеете оружием. Быть может, когда-нибудь я испытаю вашу удаль, сойдясь с вами на турнире или в бою!
str_comment_intro_female_famous_badtempered|О вас вовсю судачат. Мол, женщина, которая умеет сражаться как мужчина.
str_comment_intro_female_famous_pitiless|Мне знакомо ваше имя. Оно вселяет страх в сердца мужчин. Это хорошо. Думаю, позже нам будет, о чем поговорить.
str_comment_intro_female_famous_cunning|О, да-а. Наконец-то мы встретились. Вы весьма известная особа. Давайте не будем забывать друг о друге.
str_comment_intro_female_famous_sadistic|Мне доводилось о вас слышать. И если люди говорят правду, ваше имя на устах у многих безутешных вдов. Но лично меня это не заботит.
str_comment_intro_female_famous_goodnatured|Да, я слышал{reg65?а:} о вас! До чего же это приятно, наконец свести с вами знакомство!
str_comment_intro_female_famous_upstanding|Мне знакомо ваше имя. Говорят, что вы - самая доблестная из воинов. Остается только надеяться, что ваши честь и сострадание не уступают воинскому искусству.
str_comment_intro_female_noble_liege|Не так уж часто можно встретить женщину, которая решается вести мужчин на битву. Но времена сейчас темные и мрачные. В такие дни грех отказываться от рук, которые умеют держать меч. Конечно, если это руки верного храбреца.
str_comment_intro_female_noble_martial|Я не разберу герб на вашем знамени, но вы явно дама не из последних. Прошу, примите мое почтение как одного из ваших верных слуг.
str_comment_intro_female_noble_badtempered|Я не разберу герб на вашем знамени. Вы явно не из этих земель. Иноземка, со своими странными обычаями и устремлениями.
str_comment_intro_female_noble_pitiless|Вижу, что у вас есть дворянский стяг, но я не разберу герба на его поле... Знаете, в Пендоре принято оставлять поле брани мужчинам. Если же вы хотите изменить заведенный порядок вещей, то потеряете голову, как и всякий излишне прыткий бунтарь!
str_comment_intro_female_noble_cunning|Как необычно, даже неслыханно, чтобы в Пендоре женщина искала себе славу на полях сражений. Я с удовольствием буду следить за вашими делами.
str_comment_intro_female_noble_sadistic|Вы явно из знатных дам, хоть я не разберу герб на вашем стяге. Стало быть, еще одна иностранка в наших пенатах. Наверняка в ваших краях мужчины слабы, вот женщинам и приходится ходить на войну!
str_comment_intro_female_noble_goodnatured|Я не разберу герб на вашем знамени, но вы явно дама не из последних. Прошу простить мое невежество... госпожа! Очень приятно с вами познакомиться.
str_comment_intro_female_noble_upstanding|Не каждый день увидишь женщину в одеждах воина. Прошу, не сочтите за дерзость. У вас есть полное право защищать себя, но я не слишком жалую мысль о том, чтобы женщины отправлялись на войну. Как бы мне хотелось, чтобы ужасы войны не касались милых дам. Чтобы они оставались островками спокойствия и хранительницами тех крох нежности и внимания, что посеяны в суровых мужских сердцах.
str_comment_intro_female_admiring_liege|Не так уж часто можно встретить женщину, которая вдохновляет мужчин идти на битву. Но времена сейчас темные и мрачные. В такие дни грех отказываться от рук, которые умеют держать меч. Конечно, если это руки верного храбреца.
str_comment_intro_female_admiring_martial|Здравствуйте, милая дама. Хоть по вашей выправке я и вижу, что встретил не обычную деву, все же позвольте засвидетельствовать вам свое почтение и назвать себя вашим верным слугой.
str_comment_intro_female_badtempered_admiring|Хе, ну и номер - дамочка в боевых доспехах. Невиданное дело, но вот ведь странность - вас эти доспехи делают только краше.
str_comment_intro_female_pitiless_admiring|Нечасто у нас можно увидеть женщину, одетую для боя. Осторожнее, моя госпожа. Мир жесток. Будет ужасно жаль, если такое личико испортит удар меча.
str_comment_intro_female_cunning_admiring|Приветствую, госпожа. Прошу, не сочтите за дерзость, но моя первая мысль была о том, что в наши дни редко встретишь женщину в одеждах воина. Тешу себя надеждой, что когда-нибудь стану отцом столь же отчаянной дочурки.
str_comment_intro_female_sadistic_admiring|Кто это тут у нас? Женщина, нарядившаяся воином! Осмелюсь сказать, что вас не спутать с мужчиной даже под слоем брони и кольчужным хауберком.
str_comment_intro_female_admiring_goodnatured|Госпожа, если вы умеете обращаться с мечом не хуже, чем вести себя на людях, вашим врагам не позавидуешь!
str_comment_intro_female_admiring_upstanding|Приветствую вас, госпожа. Даже сквозь пыль дорог на вашем одеянии я вижу, что вы не лишены красоты и грации, присущей слабому полу.
str_comment_intro_female_common_liege|Не так уж часто можно встретить женщину, которая решается вести мужчин на битву. Но времена сейчас темные и мрачные. В такие дни грех отказываться от рук, которые умеют держать меч. Конечно, если это руки верного храбреца.
str_comment_intro_female_common_martial|Госпожа, позвольте дать вам совет. Странствуя по нашим неспокойным землям, будьте начеку. Если вы ищете более... оседлой жизни, лучше смените меч на зеркальце и подыщите себе достойного мужа.
str_comment_intro_female_common_badtempered|Кстати, девонька! А ваш муж знает, чем вы тут занимаетесь? Голову даю на отсечение, что по возвращению домой вас ждет хорошая выволочка!
str_comment_intro_female_common_pitiless|Что за черные времена переживает наша страна! Даже женщины стали браться за меч, наживаясь на горестях войны.
str_comment_intro_female_common_cunning|Как необычно, даже неслыханно, чтобы в Пендоре женщина снискала себе славу на полях сражений. Я с удовольствием буду следить за вашими делами.
str_comment_intro_female_common_sadistic|Женщина, нарядившаяся воином! Думаю, женского в вас теперь осталось не больше, чем мужского в воинах, идущих за вами.
str_comment_intro_female_common_goodnatured|Кажется, вы умеете постоять за себя. Но все-таки я советую вам поостеречься.
str_comment_intro_female_common_upstanding|Не каждый день увидишь женщину в одеждах воина. Прошу, не сочтите за дерзость. У вас есть полное право защищать себя, но я не слишком жалую мысль о том, чтобы женщины отправлялись на войну. Как бы мне хотелось, чтобы ужасы войны не касались милых дам. Чтобы женщины оставались островками спокойствия и хранительницами тех крох нежности и внимания, что посеяны в суровых мужских сердцах.
str_rejoinder_intro_female_common_badtempered|Свое оружия я заслужила в бою. Хотите его попробовать?
str_rejoinder_intro_female_noble_sadistic|Не судите о моей стране. Похоже, что здесь, в Пендоре, людей на войну тянут даже слюнявые кретины.
str_rejoinder_intro_female_common_sadistic|А вы, мой господин, не страшнее моей лошади.
str_rejoinder_intro_female_noble_pitiless|Да, вернуть обычный порядок вещей не помешало бы. Тогда мне не пришлось бы говорить с идиотами.
str_rejoinder_intro_female_common_pitiless|Времена сейчас, и правда, тяжелые. Всякий гад норовит назвать себя благородным.
str_rejoinder_intro_noble_sadistic|Возможно, сейчас я заберу ваше знамя, ваш замок и вашу жизнь.
str_rejoinder_intro_female_pitiless_admiring|Я с удовольствием подпорчу ваш милый носик.
str_rejoinder_intro_female_common_upstanding|Хотите проверить, насколько нежна моя сталь?
str_rejoinder_intro_female_noble_upstanding|Хотите проверить, насколько нежна моя сталь?
str_rejoinder_intro_female_common_martial|Если уж искать себе мужа, то не в такой конуре.
str_rejoinder_intro_female_sadistic_admiring|Разумением вы могли бы поспорить с лошадиной сбруей, но вот выиграть спор?
str_rejoinder_intro_female_badtempered_admiring|Если вас так беспокоит мой внешний вид, я могу выколоть вам глаза.
str_comment_you_raided_my_village_enemy_benevolent|Вы напали на невинных крестьян. Деревня {s51} под моей защитой и я накажу вас за ваши преступления!
str_comment_you_raided_my_village_enemy_spiteful|Вы напали на деревню {s51}, уничтожив мое имущество и убив жителей. Вы заплатите кровью!
str_comment_you_raided_my_village_enemy_coldblooded|Вы напали на деревню {s51}, уничтожив мое имущество и убив жителей. Теперь вы дважды подумаете, прежде чем делать это снова.
str_comment_you_raided_my_village_enemy|Вы напали на деревню {s51}, уничтожив мое имущество и убив жителей. Вы заплатите за свои преступления!
str_comment_you_raided_my_village_unfriendly_spiteful|Вы совершили набег на мою деревню {s51}. Сделаете это снова, и я выпотрошу вас, как рыбу.
str_comment_you_raided_my_village_friendly|Вы совершили набег на мою деревню {s51}. Это очень повредит нашей дружбе.
str_comment_you_raided_my_village_default|Вы совершили набег на мою деревню {s51}. Если так будет и дальше, то мы дойдем до драки.
str_comment_you_stole_cattles_from_my_village_enemy_benevolent|Говорят, вы похитили скот у невинных крестьян из деревни {s51} под моей защитой. Я накажу вас за такую дерзость!
str_comment_you_stole_cattles_from_my_village_enemy_spiteful|Говорят, вы похитили скот у моих крестьян из деревни {s51}, а ведь это их собственность. Вы заплатите за этот бесчестный поступок!
str_comment_you_stole_cattles_from_my_village_enemy_coldblooded|Говорят, вы похитили скот у моих крестьян из деревни {s51}! В следующий раз вы дважды подумаете, чтобы решаться на такое!
str_comment_you_stole_cattles_from_my_village_enemy|Говорят, вы похитили скот у моих крестьян из деревни {s51}, а ведь это их собственность. Вы заплатите за этот бесчестный поступок!
str_comment_you_stole_cattles_from_my_village_unfriendly_spiteful|Говорят, вы похитили скот у моих крестьян из деревни {s51}! Еще раз такое повторится, и я выпотрошу вас, как рыбу!
