qstr_Next_Page|Следующая страница
qstr_ERROR:_Companion_str|ОШИБКА: Строки компаньонов, фактические/требуются: {reg1}/{reg2}
qstr_{s4}_looks_upset.|{s4} выглядит опустошенно.
qstr_{s11}_and_{s12}_are_|{s11} и {s12} обижены друг на друга.
qstr_{s11}_likes_{s12}.|{s11} нравится {s12}.
qstr_your_party|ваш отряд
qstr_{reg0?One_of_your_pr|{reg0?Один из ваших пленников, :}{s1} из {s3}{reg0?,:} сбежал!
qstr_You_brought_{reg3}_h|Вы доставили {reg3} голов скота в {s1}.
qstr_I_heard_that_there_w|Говорят, что {s62} скоро объявит турнир.
qstr_I_heard_that_one_can|Говорят, что {s62} можно дешево купить в {s63}.
qstr_I_heard_that_they_pa|Говорят, что {s62} очень ценится в {s63}.
qstr_two_days_ago|два дня назад
qstr_DEBUG:_{s3}_doesn_t_|ОТЛАДКА: {s3} не имеет опекуна. (проверка по имени {s4})
qstr_Best_threat_of_{s4}_|Наибольшей угрозой для {s4} имеет значение равное {reg1}
qstr_No_center_found_to_d|Нечего защищать.
qstr_You_gain_right_to_ru|Вы получаете право на власть.
qstr_You_lose_right_to_ru|Вы теряете право на власть.
qstr_{s9}_{reg4?She:He}_s|{s9} Теперь {reg4?она:он} называет себя {s7}.
qstr_{s13}_Snake_Cult_Arm|{s13} Армия культа Змеи^
qstr_{s13}_{reg0}_Snake_C|{s13} {reg0} армии культа Змеи^
qstr_{s13}_Mystmountain_A|{s13} Армия Мглистых гор^
qstr_{s13}_{reg0}_Mystmou|{s13} {reg0} армии Мглистых гор^
qstr_{s13}_Vanskerry_Army|{s13} Армия Ванскерри^
qstr_{s13}_{reg0}_Vansker|{s13} {reg0} армии Ванскерри^
qstr_{s13}_Heretic_Army^|{s13} Армия Еретиков^
qstr_{s13}_{reg0}_Heretic|{s13} {reg0} армии Еретиков^
qstr_{s13}_Jatu_Army^|{s13} Армия Джату^
qstr_{s13}_{reg0}_Jatu_Ar|{s13} {reg0} армии Джату^
qstr_{s13}_Inquisition_Ar|{s13} Армия Инквизиции*^
qstr_{s13}_{reg0}_Inquisi|{s13} {reg0} Армий Инквизиции*^
qstr_{s13}_Wolfbode_the_S|{s13} Волк-Предвестник-Убийца^
qstr_{s13}_Dread_Legion^|{s13} Легион Страха^
qstr_{s13}_K_Juda_the_Rav|{s13} К'Джуда Разрушитель^
qstr_{s13}_Alaric_von_Bro|{s13} Аларик фон Сенсация^
qstr_{s13}_Warlord_Zulkar|{s13} Военачальник Зулкар^
qstr_{s13}_Eyegrim_the_De|{s13} Айгрим Пожиратель^
qstr_{s13}_Burilgi_the_Us|{s13} Берилджи Узурпатор^
qstr_{s13}_Oswald_de_Fleu|{s13} Компания искателей приключений Освальда де Флера^
qstr_{s13}_Griffonsword_A|{s13} Компания искателей приключений Меча Грифона^
qstr_{s13}_Kodan_Ironswor|{s13} Компания искателей приключений Кодана Железного меча ^
qstr_{s13}_Sheik_Shalavan|{s13} Компания искателей приключений Шейха Шалавана^
qstr_{s13}_Sir_Boris_the_|{s13} Отряд Бориса-Ворона^
qstr_{s13}_The_Three_Seer|{s13} Три Провидицы^
qstr_{s13}_Aeldarian_Nold|{s13} Лорд нолдоров Аелдариан*^
qstr_{s13}_Ithilrandir_No|{s13} Лорд нолдоров Изилрандир*^
qstr_{s13}_Syla_Uzas^|{s13} Сила Узас^
qstr_{s13}_Obrist_Heynric|{s13} Генрих Обрист^
qstr_{s13}_The_Renegade_W|{s13} Охотники на ведьм*^
qstr_{s13}_Tercio_Villavi|{s13} Терция Вильявисьосиа^
qstr_{s13}_Melitine_Invas|{s13} Армия вторжения Мелитайна^
qstr_{s13}_Holy_Inquisito|{s13} Святой инквизитор Расмус Деватич*^
qstr_{s13}_No_standing_ar|{s13} Нет армий, чтобы оспорить вашу власть!^
qstr_{s13}^_parties_marke|{s13}^(группы, помеченные *, не входят в условия победы)^
qstr__{s7}|{s7}
qstr_Mettenhiem_Captain|Капитан Меттенхайма
qstr_Mettenheim_Soldiers|Солдаты Меттенхайма
qstr_Veccavian_Huntress|Виккавийские охотницы
qstr_Veccavian_Warriors|Виккавийские воины
qstr_Jatu_War_Leader|Вождь Джату
qstr_Jatu_Riders|Разбойники Джату
qstr_Powerful_Mercenary_C|Влиятельный капитан наемников
qstr_Sellswords|Наемники
qstr_Barclay_Noble_Advent|Благородный искатель приключений из Барклая
qstr_Barclay_Adventurers|Искатели приключений из Барклая
qstr_Melitine_Adventurer|Мелитайнский авантюрист
qstr_Melitine_Adventurers|Мелитайнские авантюристы
qstr_Singalian_War_Leader|Военачальник сингалийцев
qstr__The_villagers_and_y| Крестьяне и ваши войска нашли и убили крыс!
qstr__The_villagers_kill_| Крестьяне замочили много крыс, но, несмотря на это, вредителей стало еще больше!
qstr__The_villagers_manag| Крестьяне отравили крыс и убрали этих тварей!
qstr__The_villagers_manage| Крестьяне отравили несколько крыс, множество кошек и немного собак. К счастью они не отравили колодец.
qstr__The_Rat_Catcher_and| Крысолов и крестьяне поймали большую часть крыс.
qstr__The_Rat_Catcher_fai| Крысолов страшно облажался, крестьяне выгнали его из города и обвиняют во всем вас.
qstr__The_Village_Elder_s| Староста распорядился очистить деревню от крыс и выдал вам кредит под это задание.
qstr__The_Village_Elder_f| Староста не смог очистить деревню от крыс! Крестьяне теряют веру в вас.
qstr__{s64}_somehow_manag| {s64} как-то смог сделать всю работу и выдать вам кредит.
qstr__{s64}_fails_to_find| {s64} не смог найти решения проблемы разрушений. Крестьяне теряют веру в вас.
qstr__{s64}_somehow_manage| {s64} справился со всей работой всего за 100 динаров.
qstr__{s64}_somehow_fails| {s64} не смог помочь каждому с суммой в 100 динаров. Ваши жители недовольны.
qstr__{s64}_succeeds_in_h| {s64} успешно помог всем пострадавшим от воды.
qstr__{s64}_somehow_squan| {s64} каким-то образом промотал 1000 динаров, и до сих пор есть крестьяне, не получившие помощи.
qstr__{s64}_succeeds_in_he| {s64} помог всем пострадавшим от воды. Он установил небольшой налог для сбора средств на будущие неприятности.
qstr__{s64}_is_not_the_wi| {s64} оказался не самым мудрым транжирой, тем не менее, крестьяне благодарят вас за ваше великодушие и винят его, а не вас.
qstr__{s64}_somehow_manages| {s64} смог тянуть деревню, одновременно помогая наместнику успокаивать свои слабые нервы.
qstr__{s64}_fails_to_conv| {s64} не смог убедить суеверных жителей принять вашу точку зрения.
qstr__{s64}_somehow_manages_| {s64} смог сплотить селян вместе, и они находят способ добыть воду для спасения урожая от засухи.
qstr__Even_with_100_Dinar| Даже с сотней динаров, {s64} не смог убедить суеверных жителей принять вашу точку зрения.
qstr__{s64}_hires_the_Wit| {s64} нанял Ведьму, а через 24 часа пошел дождь. Как ей это удалось?
qstr__The_{s64}_hires_the| {s64} нанял Ведьму, но она не принесла никакой пользы.
qstr__The_Witch_blesses_t| Ведьма благословила посев, и в итоге урожай возрос.
qstr__The_Village_Elder_h| Староста нанял Ведьму, но она исчезла с 1000 динарами!
qstr__The_Village_Elder_su| Старосте каким-то образом удалось справиться с ситуацией.
qstr__The_Village_Elder_i| Староста не смог успокоить два клана, случилось кровопролитие, и это отразилось на процветании села.
qstr__The_Village_Elder_a| Староста и местные вояки поддерживают мир.
qstr__The_Village_Elder_ac| Староста принимает 300 динаров и это разряжает обстановку.
qstr__The_Village_Elder_t| Староста получает 300 динаров, но этого недостаточно, чтоб остановить кровопролитие других жителей.
qstr__The_Village_Elder_ta| Староста получает 500 динаров и с арестом и последующим повешением лидеров кланов, удалось избежать кровопролития, но еще остались несколько разъяренных селян.
qstr__The_Village_Elder_is| Староста не смог арестовать лидеров, и это только спровоцировало дополнительные беспорядки и насилие.
qstr_Angry_mob_of_Village| Разъяренная толпа селян.
qstr__An_angry_mob_of_vil| Разъяренная толпа селян буйствует по всему селу!
qstr__The_Village_Elder_is_| Староста не смог арестовать лидеров, и это только спровоцировало дополнительные беспорядки и насилие.
qstr__{s64}_manages_to_ca| {s64} смог схватить и повесить похитителей. Лошади были возвращены.
qstr__The_Village_Elder_is_u| Староста не может успокоить селян.
qstr__{s64}_manages_to_bu| {s64} смог купить лошадей для вспахивания, и проблема была решена.
qstr__{s64}_squanders_the| {s64} промотал деньги, и теперь не на что купить путевых лошадей для вспахивания.
qstr__{s64}_organizes_a_p| {s64} организовал поисковый отряд для поимки и повешения похитителей. Лошади были возвращены.
qstr__{s64}_is_unable_to_| {s64} не смог найти воров и спасти лошадей.
qstr_Horse_Thieves|Конокрады
qstr__The_Horse_Thieves_h| Похитители лошадей замечены!
qstr__{s64}_succeeds_in_f| {s64} успешно нашел способ устранить угрозу волков.
qstr__Without_help_the_wo| Без посторонней помощи не получится решить вопрос с волками, их слишком много.
qstr__Even_with_100_Dinars| Даже 100 динаров не помогли {s64} справиться с волками!
qstr__{s64}_hires_the_Witc| {s64} нанял ведьму и вскоре после этого, волки покинули район. Как ей это удалось?
qstr__The_{s64}_hires_the_| {s64} нанял ведьму, но ее попытка справиться с волками потерпела неудачу.
qstr__{s64}_succeeds_in_t| {s64} успешно избегает беженцев.
qstr__{s64}_is_unable_to_g| {s64} не смог избежать беженцев.
qstr__{s64}_gives_the_ref| {s64} дает беженцам еды, и они уходят мирно.
qstr__The_refugees_take_t| Беженцы забирают еду, но {s64} не собирается уходить.
qstr__{s64}_manages_to_su| {s64} интегрирует беженцев в {s54}.
qstr__The_refugees_do_not| Беженцы не ассимилируются с {s54}, создавая несколько проблем с местным населением, которые {s64} не смог сгладить.
qstr__{s64}_has_the_local| {s64} нанимает местных плотников строить дома и справляется с интеграций беженцев в {s54}.
qstr__The_citizens_of_{s5| Гражданам {s54} не нравится, что беженцы получают преференции, ассимиляция этих людей в {s54} не проходит гладко. {s64} не справился.
qstr_Angry_Refugees|Голодные беженцы
qstr__The_refugees_get_an| Беженцы проголодались и подняли оружие против вас!
qstr__{s64}_has_the_local_| {s64} нанимает местных плотников возместить ущерб от пожара.
qstr__{s64}_fails_to_enac| {s64} не смог устроить восстановление и горожане {s54} недовольны.
qstr__{s64}_succeeds_in_d| {s64} успешно справился с разрушениями от пожара. 
qstr__{s64}_is_unable_to_d| {s64} не смог исправить разрушения от пожара, население недовольно.
qstr__{s64}_finds_the_cit| {s64} находит поджигателей и вешает их на рыночной площади.
qstr__{s64}_is_unable_to_f| {s64} не смог найти кого-либо похожего на поджигателя. Граждане обижены.
qstr__{s64}_has_managed_t| {s64} справляется с очисткой колодцев. Местные счастливы от ваших действий.
qstr__{s64}_fails_to_clea| {s64} не смог очистить колодец. Граждане {s54} раздражены.
qstr__{s64}_has_summoned_| {s64} вызвал врачей для решения проблемы.
qstr__The_medicine_men_th| Доктор, которого вызвал {s64}, не смог очистить колодец, граждане {s54} раздражены.
qstr__{s64}_found_the_cul| {s64} нашел виновника и добился признания. Признание указывает на {s51}, как человека, который стоял за этим злодеянием! Колодец в конце концов очистился после дюжины заболевших людей.
qstr__{s64}_fails_to_find_| {s64} на смог найти виновника. Колодец в конечном итоге смыл яд, но до того как много людей заболели. Граждане {s54} недовольны.
qstr__{s64}_found_the_culp| {s64} нашел виновника и повесил его на рынке. Колодец стал пригодным к использованию после дюжины заболевших людей.
qstr__{s64}_turns_the_Her| {s64} отправил Еретика к рыцарям Рассвета.
qstr__{s64}_has_the_priso| {s64} пытал заключенного и добился признания, что он Еретик и совершал убийства.
qstr__{s64}_reports_that_| {s64} сообщает, что заключенный Еретик сбежал!
qstr__{s64}_determines_th| {s64} выяснил, что заключенный - Еретик и немедленно казнил его.
qstr__After_extensive_inv| После тщательного расследования выяснил, что {s64} не Еретик и отпустил его.
qstr_Heretic_Hunters|Охотники на Еретиков
qstr__{s64}_finds_ways_to| {s64} находит способ защитить местных жителей и организовывает поиск, который в итоге выводит на шпиона. К сожалению, шпион не дожил до этого события.
qstr__{s64}_leads_the_for| {s64} прилагает усилия и находит шпиона. К сожалению, шпион не дожил до этого события.
qstr__{s64}_conducts_a_ho| {s64} проводит поиск от дома к дому, но не может найти шпиона. Граждане раздражены переполохом.
qstr__{s64}_has_the_capta| {s64} выпорол начальника охраны. К сожалению, жители и ваши войска этого не одобряют.
qstr_Snake_Cult_Spies|Шпионы культа Змеи
qstr__{s64}_takes_the_new| {s64} подхватывает новость и успевает передать ваше решение фермерам, чтобы они не бунтовали.
qstr__{s64}_orders_that_t| {s64} приказал, чтобы святыни не заменялись!
qstr__{s64}_successfully_| {s64} успешно передает гражданам, что храм не будет построен.
qstr__{s64}_orders_that_th| {s64} священные ордена не могут быть заменены. Рыцари Рассвета уходят с миром.
qstr__{s64}_takes_the_news| {s64} получает сообщение, но ваши граждане бунтуют..
qstr__{s64}_orders_that_the| {s64} священные ордена не могут быть заменены. Местные жители расстроены.
qstr__{s64}_tries_to_calm| {s64} пытается успокоить граждан, но безрезультатно. Восстание на улицах приводит к экономическим потрясениям.
qstr__{s64}_tells_the_Kni| {s64} сообщает рыцарям Рассвета, что они со своими храмами не нужны!
qstr_Astraea_Zealots!|Фанатики Астреи!
qstr_Zealots!|Фанатики!
qstr__{s64}_rejoices_at_y| {s64} рад вашему решению и местные жители восхваляют ваше имя.
qstr__{s64}_happily_order| {s64} радостно приказывает построить небольшой храм!
qstr__{s64}_orders_that_the_| {s64} приказывает возвести храм Эвномии Стабилитис!
qstr__The_Knights_of_the_| Рыцари Рассвета вне себя от радости. Они не только построили храм Астреи, но и снесли другие храмы.
qstr__The_shrine_is_built| Храм построен, но очевидно он имеет очень мало последователей.
qstr__{s64}_oversees_the_| {s64} наблюдает за храмом, но вскоре после того как его построили, его разграбили и изуродовали. Люди боятся ходить туда.
qstr__{s64}_tries_to_calm_| {s64} пытается успокоить граждан, но безрезультатно. Восстание на улицах приводит к экономическим потрясениям.
qstr__{s64}_infoms_the_Kn| {s64} извещает рыцарей Рассвета, и они начинают строить свой храм. Они получают повсеместное сопротивление, когда пытаются уничтожить другие храмы.
qstr__Zealots_take_arms_a| Фанатики взяли в руки оружие против вас!
qstr__{s64}_succeeds_in_s| {s64} успешно отправил пилигрима прочь.
qstr__{s64}_is_unable_to_de| {s64} не в состоянии бороться с пилигримами. Тяжелое предчувствие делает остальное население подавленным.
qstr__{s64}_sends_for_the| {s64} отправляется за Врачами Сияющего Креста, которые мчатся во всю прыть, чтобы лечить больных. Местные жители довольны вашими действиями.
qstr__{s64}_is_unable_to_e| {s64} не смог прибегнуть к помощи рыцарей Сияющего Креста. Граждане {s54} недовольны.
qstr__{s64}_manages_to_fi| {s64} находит целителей, которые мчатся во всю прыть, чтобы лечить больных. Местные жители довольны вашими действиями.
qstr__{s64}_is_unable_to_en| {s64} не смог прибегнуть к помощи целителей. Граждане {s54} недовольны.
qstr__{s64}_repents_and_m| {s64} сожалеет и находит знахарей и других целителей, чтобы лечить больных. Местные жители довольны вашими действиями.
qstr__{s64}_prays_for_rep| {s64} молится о покаянии и, в конечном счете, все больше людей страдает болезнью. Граждане {s54} недовольны.
qstr__{s64}_somehow_manages_t| {s64} находит знахарей и других целителей, чтобы лечить больных.
qstr__{s64}_has_no_idea_w| {s64} понятия не имеет, что делать, и, в конечном счете, все больше людей страдает болезнью. Граждане {s54} недовольны.
qstr_Mettenheim_Plunderer|Грабители Меттенхайм
qstr_Veccavi_Hunters|Виккавийские охотники
qstr_Jatu_Mercenary_Raide|Наемные налетчики Джату
qstr_Mercenary_War_Band|Банда наемников
qstr_Barclay_Mercenary_Ad|Банда наемников авантюристов
qstr_Melitine_Mercenary_A|Мелитайнские наемные авантюристы
qstr_Singalian_Mercenary_|Сингалийские наемные работорговцы
qstr__{s64}_informs_the_M| {s64} сообщает наемникам выдвигаться.
qstr__{s64}_informs_the_Me| {s64} сообщает наемникам немедленно убраться.
qstr__Your_generosity_att| Ваша щедрость привлекает дополнительных наемников на вашу сторону.
qstr_{s14}|{s14}
qstr__The_{s20}_is_offend| {s20} атакован!
qstr__The_Mercenary_compa| Компания наемников присоединилась к вашим войскам в {s54}.
qstr__{s64}_found_the_thi| {s64} находит вора, он, скорее всего, крал не из-за необходимости. Горожане думают, что вы слишком мягки к преступности.
qstr__{s64}_fails_to_find_t| {s64} не может найти виновника. Граждане бухтят о вашей неудаче с поисками вора.
qstr__{s64}_improves_the_| {s64} улучшает патрули. Жители чувствуют себя безопасней без дополнительных событий подобного рода.
qstr__{s64}_manages_to_se| {s64} обыскивает несколько домов и находит вора. Это был короткий, но справедливый суд. Граждане освобождены.
qstr__{s64}_fails_to_find_th| {s64} не может найти виновника и расстраивает многих жителей.
qstr__{s64}_puts_out_the_| {s64} выдает награду, вор найден и быстро казнен. Граждане благодарны.
qstr__Even_with_the_200_d| Даже с двумя сотнями динаров за поимку, вора не находят. {s64} не нашел виновника. Граждане бухтят о вашей неудаче с поисками вора.
qstr__{s64}_is_able_to_en| {s64} может помочь с ремонтом за 2500 динаров.
qstr__{s64}_obtains_the_s| {s64} обращается к услугам двух студентов-конструкторов, умудрившихся умереть, когда стена, построенная ими, обрушилась на них.
qstr__{s64}_is_somehow_ab| {s64} удается выполнить ремонт с помощью своих инженерных навыков.
qstr__{s64}_understands_y| {s64} понимает ваше положение, но ремонт не завершен.
qstr__{s64}_spreads_the_d| {s64} заплачено членам вашего отряда, никто не покинул отряд.
qstr__{s64}_somehow_manages_to| {s64} связывает язык и искажает ваше сообщение войскам. Это имеет некоторые печальные последствия.
qstr__{s64}_spreads_the_w| {s64} произносит слово, и все дезертиры бегут. Хорошая новость для вас - не нужно платить ни динара!
qstr__{s64}_passes_along_| {s64} проходит по вашей информации, а судьба позаботится об остальном.
qstr__{s64}_informs_you_t| {s64} информирует вас, что дезертиры за воротами!
qstr_Brigand_Deserters!|Разбойники дезертиры!
qstr__{s64}_somehow_manages_to_| {s64} удается убедить торговую делегацию расстаться с 2000 динарами. Торговый путь был создан и существенная прибавка к процветанию достигнута.
qstr__{s64}_reports_that_t| {s64} сообщает, что торговая делегация посмеялась над вашим предложением и немедленно уехала.
qstr__{s64}_sets_up_the_n| {s64} устанавливает необходимые контакты и договаривается о торговом пути, который даст существенную прибавку к процветанию {s54}.
qstr__Somehow_{s64}_has_m| Каким-то образом {s64} удается неумело оскорбить торговую делегацию, и они уезжают в ярости. Торговый путь не был создан.
qstr__The_trade_delegatio| Торговая делегация немедленно покидает.
qstr_Obliterated|Стертый
qstr_Destroyed|Разрушен
qstr_Crushed|Сокрушен
qstr_Fading|Исчез
qstr_Weakened|Ослаблен
qstr_Healthy|Здоров
qstr_Strong|Силен
qstr_Overwhelming|Подавляет
qstr_Invincible|Неукротим
qstr_Nothing_as_there_is_|Здесь нет никакого рыцарского ордена.
qstr_{s8}_from_{s7}.|{s8} из {s7}.
qstr_{s6}_from_{s8}.|{s6} из {s8}.
qstr__I_promise_that_your|Я обещаю, ваше поражение будет великолепно!
qstr__Then_let_us_test_ou|Тогда позвольте нам проверить наше мастерство сражения!
qstr__To_Arms!|К оружию!
qstr___Very_well:_Let_us_|Отлично! Готовьтесь к бою!
qstr__You_don_t_look_all_|Не похоже, что с вами возникнут какие-то сложности.
qstr__If_we_must_let_us_d|Если боя нам не избежать, то позвольте умереть с достоинством!
qstr__You_will_join_your_|Вы скоро присоединитесь к вашим предкам!
qstr__You_don_t_look_part|Вы не выглядите особенно грозными.
qstr__Better_to_die_in_ba|Лучше умереть в сражении, чем жить такими уродами, как вы.
qstr__I_ve_seen_more_frig|Я бросаю более грозные взгляды в борделе, чем вы тут.
qstr__If_I_were_afraid_of|Если бы я боял{reg63?ся:ась} подобных вам, то упал{reg63?:а} бы на свой меч от отвращения к {reg63?самому:самой} себе.
qstr__Make_peace_with_you|Пообщайтесь с вашими богами, пока еще можете.
qstr__Do_you_really_think|Ты действительно думаешь, что ты так{reg65?ая:ой} ужасающ{reg65?ая:ий}? Ха!
qstr__I_hope_Hell_has_eno|Я надеюсь, что в аду достаточно места для вас и всех ваших предков.
qstr__If_you_think_you_ca|Если вы думаете, что можете выиграть этот бой, то у вас опилки вместо мозгов.
qstr__You_intend_to_fight|Вы намереваетесь бороться со мной? Вы пьяны или действительно настолько глупы?
qstr__You!__Stand_aside_m|Эй! Стой в стороне, нищ{reg63?ий:ая}, ты долж{reg63?ен:на} оказывать надлежащее уважение!
qstr__I_challenge_you_war|Я бросаю вызов тебе, {reg63?воин:воительница}! Докажи свою честь в схватке, или умри!
qstr__Hail_and_well_met!_|Приветствую, встречн{reg63?ый:ая}! Подготовьтесь к дальней поездке... в вашу следующую жизнь!
qstr__Ah_good!__Just_in_t|Ах, хорошо! Как раз время проверить мою сталь!
qstr__Have_at_thee_knave!|Получи, паршивец!
qstr__It_s_been_a_boring_|У меня был довольно скучный день, и поэтому я подумал{reg65?а:}, что драка с вами развеет мою скуку.
qstr__Challenge_me_will_y|Бросишь мне вызов, а? Я от тебя мокрого места не оставлю, неудачни{reg63?к:ца}, но для начала я съем твою печень!
qstr__You_look_a_bit_lost|Выглядишь немного потрепанн{reg63?ым:ой}. Хочешь, я помогу тебе встретить твоего создателя? Вали их, братва!
qstr__More_Blood!|Больше крови!
qstr_no_tidbits_of_value|разные сплетни, но в них нет ничего ценного
qstr_no_information_of_in|разные сплетни, но в них нет никакой ценной информации
qstr_no_interesting_news|разные сплетни, но в них нет никаких ценных новостей
qstr_no_new_rumors_to_rep|разные сплетни, но в них нет никаких новых слухов
qstr_no_new_information|разные сплетни, но в них нет стоящей информации
qstr_very_little_worth_re|разные сплетни, но в них нет ничего, заслуживающего вашего внимания
qstr_nothing_but_worthles|разные сплетни, но в них нет ничего интересного. Только никчемные сплетни и треп торговок рыбой
qstr_nothing_but_innuendo|разные сплетни, но в них нет никаких новостей. Только инсинуации и ничего не стоящее хвастовство
qstr_no_news_worth_repeat|разные сплетни, но в них нет новостей, достойных повторения
qstr__My_{reg63?Captain:L|{reg63?Мой капитан:Миледи},
qstr__Business_has_been_b|Бизнес был оживленным, и
qstr__Well_in_truth_{play|По правде говоря, {playername},
qstr__Hmmm_{playername}._|Хм, {playername}, мои источники иссякли, и
qstr__My_good_{playername|{reg63?Любезный:Любезная} {playername}, я был{reg65?а:} поглощен{reg65?а:} работой, и
qstr__I_am_sorry_{playern|Я сожалею, {playername},
qstr_._Try_next_week.|. Попробуйте через неделю.
qstr_._Perhaps_you_should|. Возможно, вам стоит спросить кого-либо еще.
qstr_._You_might_have_bet|. Попытайте удачу в другом месте.
qstr_._Ask_me_later_say_i|. Спросите меня позже, скажем, приблизительно через неделю.
qstr_._I_am_sure_there_ar|. Походите тут, порасспрашивайте. Я уверен{reg65?а:}, у кого-нибудь здесь обязательно найдется информация, которую вы ищите.
qstr_._Perhaps_later_I_wi|. Возможно, позже я подслушаю кое-что действительно интересное.
qstr_._Come_back_another_|. Возвращайтесь позже.
qstr_.|.
qstr__{s2}_I_have_heard_{|{s2} я слышал{reg65?а:} {s5}{s6}
qstr__{s2}_there_have_bee|{s2} могу рассказать {s5}{s6}
qstr__{s2}_I_have_to_say_|{s2} последнее время я слышал{reg65?а:} {s5}{s6}
qstr__{s2}_few_people_hav|{s2} несмотря на то, что некоторые люди действительно заходили сюда, они рассказывали {s5}{s6}
qstr__{s2}_I_have_been_il|{s2} я плохо себя чувствовал{reg65?а:} всю неделю. Я слышал{reg65?а:} {s5}{s6}
qstr__{s2}_I_have_been_bu|{s2} я был{reg65?а:} занят{reg65?а:} отгрузкой. Таким образом, могу рассказать {s5}{s6}
qstr__{s2}_I_haven_t_had_| {s2} Мне не удалось услышть что-либо такое и поэтому у меня есть {s5} для вас{s6}
qstr__{s2}_I_have_been_bus|{s2} я занимал{reg65?ась:ся} с моими учениками. Таким образом, я слышал{reg65?а:} {s5}{s6}
qstr__Ah!_It_is_unfortuna|Ах! Как неудачно, {reg63?милорд:миледи},
qstr__More_is_the_pity_go|Сжальтесь, любезн{reg63?ый сэр:ая мадам},
qstr__I_have_been_idle_to|Я был{reg65?а:} не при делах слишком долго, и
qstr__I_have_been_busy_wi|Я был{reg65?а:} занят{reg65?а:} личными делами в последнее время, и
qstr__My_ears_and_eyes_ha|Мои уши и глаза были открыты, но,
qstr__I_am_sorry|Я сожалею,
qstr_no_information_of_va|разные сплетни, но никакой ценной информации
qstr_very_little_interest|очень мало новостей, которыми стоило бы поделиться
qstr_no_valuable_news|довольно много слухов, но никаких интересных новостей
qstr_only_worthless_whisp|только слухи, не заслуживающие внимания
qstr_nothing_but_the_chan|только новости о погоде и слова застольных песен
qstr_only_unconfirmed_whi|только неподтвержденные слухи, никакой ценности
qstr_only_unsubstantiated|только необоснованные сплетни
qstr_._I_am_sorry_my_frie|. Я сожалею, {reg63?мой друг:моя подруга}, настали времена, когда я не посвящен{reg65?а:} в происходящее на этих землях.
qstr_._These_things_happe|. Всегда что-то случается. Через день или два я буду знать новые сплетни, которые, возможно, заинтересуют вас.
qstr_._That_will_change_h|. Все меняется, как всегда. Может, скоро я услышу что-то более ценное.
qstr_.__If_you_are_in_a_h|. Если вы спешите, попробуйте поговорить с торговцами или стюардами, они знают очень многое.
qstr_._Never_fear_my_ear_|. Не беспокойтесь, мои уши всегда открыты, и я просто обязан{reg65?а:} скоро услышать что-нибудь новое. Это, в конце концов, моя профессия!
qstr_._Let_me_snoop_about|. Позволь мне осмотреться и задать несколько вопросов. Через день или два возвращайся, и я разузнаю больше.
qstr_._Perhaps_you_should_|. Возможно, вам следует возвратиться завтра. Не исключено, что у меня будет что-то интересное для вас.
qstr__{s2}_I_have_to_admi|{s2} долж{reg65?на:ен} признаться, что слышал{reg65?а:} {s5}{s6}
qstr__{s2}_so_few_people_|{s2} очень мало людей сплетничали. Я услышал{reg65?а:} {s5}{s6}
qstr__{s2}_I_have_encount|{s2} в последнее время я мало с кем сталкивал{reg65?ась:ся}, и услышал{reg65?а:} {s5}{s6}
qstr__{s2}_I_have_been_en|{s2} я был{reg65?а:} занят{reg65?а:} на секретной миссии, таким образом, у меня есть {s5}{s6}
qstr__{s2}_I_wish_I_had_b|{s2} я хотел{reg65?а:} бы иметь больше новостей для вас, но судьба позволила мне услышать {s5}{s6}
qstr__{s2}_I_have_been_oc|{s2} я был{reg65?а:} занят{reg65?а:} бизнесом, оплачивал{reg65?а:} долги, так что могу рассказать {s5}{s6}
qstr__Ah!_It_is_an_unluck|Ах! Это неудачный поворот событий, {reg63?сэр:леди},
qstr__Sad_tales_good_{reg|Я сожалею, дорог{reg63?ой сэр:ая мадам},
qstr__I_have_been_too_bus|Я был{reg65?а:} очень занят{reg65?а:} торговлей рыбой, и
qstr__My_ears_are_open_bu|Мои уши открыты,
qstr_so_little_coherent_i|так мало ценной информации
qstr_no_gossip_of_interes|лишь неинтересные сплетни
qstr_very_little_interesti|только очередную порцию необоснованных слухов
qstr_only_worthless_slave|только рассказы ничего не стоящего раба
qstr_nothing_but_the_crie|лишь крики женщин и стоны галерных рабов
qstr_only_the_wild_tales_|только дикие рассказы осужденных
qstr_only_minor_gossip_an|только сплетни черни и бесконечные разговоры о войне
qstr_._I_am_sorry_my_prof|. Я сожалею, но моя профессия приучила меня не слушать эти горестные рассказы.
qstr_._Information_like_w|. Информация, которую вы ищете, поступает каждую неделю или около этого. Проверьте позже.
qstr_._Pity_too_as_I_coul|. Сожалею, {reg63?мой друг:моя подруга}, но бывают моменты, когда я просто не знаком{reg65?а:} с событиями, происходящими на этой жестокой земле.
qstr_._If_you_are_in_a_hu|. Если вы спешите, попытайтесь поговорить с другими людьми в тавернах, а возможно даже с торговцами.
qstr_._If_you_want_to_kno|. Если вы хотите знать скабрезные истории, то ищите блуждающих шпионов в тавернах. Они всегда знают одну или две.
qstr_._Those_guild_rats_n|. Эти крысы из гильдии никогда мне ничего не говорят. Только "купите рабов", "заплатите монету" и "укомплектуйте галеры"! 
