dlga_lord_lend_companion_end:lord_pretalk|У вас в отряде уже слишком много воинов, {playername}. Вы не сможете вести больше людей, чем сейчас. 
dlga_lord_lend_companion_end:lord_pretalk.1|Конечно, {playername}. {reg3?Она толковая девушка:Он толковый парень}. Вам повезло, что у вас такие достойные спутники.
dlga_lord_talk:lord_ask_to_collect_debt|Я здесь, чтобы взыскать с вас деньги, которые ссудил вам {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Вот как? {s1} действительно одолжил мне денег на обратный путь, но я в прошлом оказал ему немало услуг и считаю, что мы в расчете.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} считает, что за вами долг. Он попросил меня поговорить с вами от его имени.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Тогда я больше не буду настаивать.
dlga_convince_accept:close_window|{s8} действительно дал мне денег взаймы, и срок уплаты давно истек, так что мне очень неловко. Огромное спасибо, что отнесете ему деньги. Пожалуйста, передайте ему кошель с {reg10} динарами и мою благодарность.
dlga_lord_talk:lord_ask_to_make_peace|Прошу вас, {s64}! Войну, которую ведут между собой {s12} и {s13}, давно пора прекратить!
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|А? Не уверен, что я вас понимаю, {playername}. О войне нельзя просто забыть. У меня, видите ли, очень хорошая память... С какой стати я буду заключать мир с этими негодяями?
dlga_lord_ask_to_make_peace_2:convince_begin|Может быть, я смогу уговорить вас...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Неважно. Сейчас и впрямь не время для мира...
dlga_convince_accept:close_window.1|Вы... убедили меня, {playername}. Хорошо, я даю вам свое благословение, пусть {s14} узнает от вас о моем предложении мира. Они могут его не принять, но если они согласятся, то и я готов подписать мир.
dlga_lord_talk:lord_ask_to_give_girl|Я хочу, чтобы вы отдали мне девушку из {s1}, нетронутой.
dlga_lord_ask_to_give_girl:lord_ask_to_give_girl_2|Должен ли я? Я продолжу свой путь с нею, и затем оставлю солдатне. Вы можете забрать ее после, ха-ха.
dlga_lord_ask_to_give_girl:lord_ask_to_give_girl_2.1|Почему вам не все равно? Это всего лишь крестьянка, и она является частью моей добычи.
dlga_lord_ask_to_give_girl_2:convince_begin|Тем не менее, я хочу ее забрать. Давайте договоримся.
dlga_lord_ask_to_give_girl_2:close_window|Тогда я заберу ее силой.
dlga_lord_ask_to_give_girl_2:lord_pretalk|Тогда я не буду настаивать дальше, делайте, как хотите.
dlga_convince_accept:close_window.2|Вы можете оставить ее себе, она обычная деревенская подстилка.
dlga_lord_talk:lord_challenge_duel_for_lady|Я хочу, чтобы вы отказались от своих обвинений против {s1}.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Разве ж это обвинения? Даже дети знают, что она спит со своими конюхами и с любым, до кого успеет дотянуться, пока ее муж в отъезде. Я лишь повторяю то, о чем говорят все...
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|Вы откажетесь от своей лжи, любезный, или подтвердите ее сталью!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Воля ваша...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Насчет {s5}! Оставьте свои притязания!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Или что? Вы собрались драться за даму? Открою вам тайну: наш господин не одобряет подобной горячности. Тем более сейчас, когда враг у ворот и каждый воин на счету.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Вы боитесь сразиться со мной?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Простите. Мне не стоило так распаляться...
dlga_lord_talk:lord_message_delivered|{s9} передает вам сообщение.
dlga_lord_message_delivered:lord_pretalk|Правда? Дайте-ка посмотреть... Ну и ну! Хорошо, что вы доставили мне это сообщение, {playername}. Возьмите мою печать в качестве доказательства, что я получил его, и пусть {s9} получит мой привет.
dlga_lord_talk:lord_message_delivered_enemy|{s9} передает вам сообщение.
dlga_lord_message_delivered_enemy:close_window|Правда? Дайте-ка посмотреть... Хммм... Хорошо, что вы доставили мне его, {playername}. Возьмите мою печать в качестве доказательства, что я получил его, вместе с моей благодарностью.
dlga_lord_talk:lord_deliver_message_prisoner|{s11} передает вам сообщение.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Правда?! О, благодарю вас, {playername}! Вы принесли крохотный лучик надежды в эти унылые стены. Может быть, однажды я сумею вас отблагодарить...
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|Это самое малое, что я мог сделать, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Мою благодарность нельзя выразить словами, {playername}. Спасибо, спасибо!
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Не беспокойтесь, {s65}. У вас еще будет шанс отблагодарить меня, когда вы окажетесь на свободе.
dlga_lord_deliver_message_prisoner_2b:close_window|Ах, конечно же, {playername}. Моя благодарность пребудет с вами вечно.
dlga_lord_talk:lord_rescue_by_replace_offer|Не бойтесь, я здесь, чтобы спасти вас.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Боже мой, вы серьезно? У вас уже есть план?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Простенькая уловка, {s65}. Если мы поменяемся одеждой, я займу ваше место здесь, в темнице, а вы сбежите в моем платье. Стражники получили от меня приличную сумму, так что, думаю, они уже скупили половину винных припасов в соседней таверне. Наверняка они вскоре напьются до такой степени, что своих собственных матерей не узнают, не то что нас. Так что времени на то, чтобы выбраться отсюда, у вас будет предостаточно.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Хмм, может быть, это и сработает... Но как же вы, {reg63?мой друг:моя милая}? Вряд ли стражникам понравится этот трюк. Вдруг они с вами что-то сделают?!
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Не о чем беспокоиться, {s65}. Я уже начинаю привыкать к этому месту.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|До тех пор, пока я помню об обещанной награде, со мной все будет в порядке.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|У вас отважная душа. Я не забуду вашего поступка.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Конечно, {reg63?мой друг:милая дева}, конечно! Приходите ко мне, как только освободитесь, и, скорее всего, я смогу отплатить вам добром за добро.
dlga_lord_rescue_by_replace_offer_6:close_window|Скорее же, {s65}, давайте меняться одеждой. Вам уже давно пора отсюда исчезнуть.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, мне бы хотелось, чтобы {s4} вновь принял мою присягу.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|Боюсь, тут я вам не помощник, {playername}. Только сам {s4} волен решить, что с вами делать.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|Как пожелаете, {s65}. Я приму любое ваше решение.
dlga_lord_ask_pardon_terms:lord_pretalk.1|Обидно, {s65}. Обидно.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Очень хорошо, идите и умирайте без меня.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Да, я к вашим услугам.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|По зрелом размышлении я отказываюсь. Я не хочу больше служить вам.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Да, меня устраивают эти условия.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|Цена слишком высока, {s65}. Мне придется отказаться.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Отлично. Невзирая на ваше предательство, {playername}, наши сердца радуются, что вы вернулись на путь истинный. Поэтому я принимаю вашу вассальную клятву. Восстаньте же снова как честный воин у меня на службе.
dlga_lord_ask_pardon_terms_rejected:close_window|Тогда убирайтесь с глаз моих, подлое отродье! Прочь отсюда, и никогда не возвращайтесь!
dlga_lord_talk:lord_ask_pardon|Мне хотелось бы, чтобы {s4} заключил мир со мной.
dlga_lord_ask_pardon:lord_pretalk|Вы серьезно, {playername}? Тогда идите и своим клинком добудьте мир для всех нас.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, вы - вассал без сеньора, вы правите от своего имени, не являясь верноподданным ни одного государства. Пока эта ситуация не изменится, ни один правитель в Пендоре не согласится заключить с вами длительный мир.
dlga_lord_ask_pardon:lord_pretalk.2|Заключить мир, когда у меня такое преимущество? Не лучшая мысль.
dlga_lord_ask_pardon:lord_pretalk.3|Не думаю, что в моих интересах идти на мировую.
dlga_lord_ask_pardon:lord_truce_offer|Ладно... Мне уже прискучило сражаться с вами. Могу предложить перемирие на двадцать дней. Если вы сдержите свое слово и не станете разорять мои земли и подданных, можно будет и о мире поговорить...
dlga_lord_truce_offer:close_window|Я принимаю ваше предложение. Давайте снимем тяжкое бремя войны, хотя бы на время.
dlga_lord_truce_offer:lord_pretalk|Если подумать, принимать подобное решение не в моих интересах.
dlga_lord_ask_pardon:lord_ask_pardon_2|Хмм. Я мог бы использовать свое влияние, чтобы договориться о вашем прощении, {playername}, но есть люди, которые считают вас врагом. Они не будут удовлетворены, пока вы не выплатите дань. Вам нужно принести не меньше {reg16} динаров, чтобы завести хотя бы каких-то друзей в {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Я не в праве что-либо предлагать. Но {s7} может это осуществить.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Да... У меня есть и другие заботы, кроме вас. Однако вы грешили на моих подданных, и эта клевета требует компенсации. За {reg16} динаров я мог бы согласиться помиловать вас. Что скажете?
dlga_lord_ask_pardon:lord_pretalk.5|Прошу прощения. Я не знаю, как мне искупить вину...
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|У меня есть такие деньги. {reg16} динаров.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Боюсь, такую сумму я выплатить не могу.
dlga_lord_ask_pardon_tribue_accept:close_window|Отлично, {playername}. Я использую эти деньги для того, чтобы смягчить гнев ваших недоброжелателей. Я уверен, вскоре пройдет молва, что {s4} больше не считает вас врагом.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Превосходно, {playername}. Я воспользуюсь деньгами, чтобы пригладить перья тех, кто могут выступить против вашего прощения, и я уверен, что скоро весть распространится, вы больше не враг {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Тогда я ничего не могу сделать для вас, {playername}. Нет денег - нет прощения.
dlga_lord_talk:lord_active_mission_1|Что касается задания, которое вы дали мне...
dlga_lord_talk:lord_switch_to_spouse|Давайте обсудим дела, связанные с нашим домашним хозяйством.
dlga_lord_switch_to_spouse:lord_pretalk|Давайте подождем, пока мы в зале, моя жена, поскольку трудно иметь дело с домашними материальными запасами. 
dlga_lord_switch_to_spouse:spouse_talk|Конечно, дорогая.
dlga_lord_talk:lord_request_mission_ask|У вас есть для меня задания?
dlga_lord_talk:combined_political_quests|Считаете, что мы можем помочь друг другу укрепиться в этих землях?
dlga_combined_political_quests:lord_pretalk|Сомневаюсь, что у нас с вами есть хотя бы какие-то общие интересы. 
dlga_combined_political_quests:lord_pretalk.1|Хм... Давайте обсудим это в более приватной обстановке - и позже. 
dlga_combined_political_quests:lord_pretalk.2|Хм... У меня действительно есть идея, но это потребовало бы от вас, чтобы вы были свободны от споров. Если вы ожидали некоторое время, не входя ни в какие споры с другими лордами нашего царства, возможно, мы можем продолжить далее.
dlga_lord_talk:lord_ask_resign_marshalship|Я хочу оставить пост маршала.
dlga_lord_ask_resign_marshalship:lord_pretalk|Пусть будет так... я найду еще кого-нибудь.
dlga_lord_talk:lord_ask_enter_service|{s66}, я хочу предложить вам мой меч и вассальную присягу!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, я хочу присягнуть вам на верность и сражаться за вашу честь.
dlga_lord_talk:lord_ask_leave_service|{s66}, мне бы хотелось освободиться от клятвы, данной вам.
dlga_lord_talk:lord_talk_preoffer|У меня к вам есть предложение.
dlga_lord_talk:lord_give_troops|Я хочу передать вам часть войска.
dlga_lord_give_troops:lord_pretalk|Хорошо, мне как раз не хватает хороших бойцов. Спасибо.
dlga_lord_talk:lord_give_troops_garrison|Я хочу усилить ваш гарнизон.
dlga_lord_give_troops_garrison:lord_pretalk|Ну, гарнизону пригодятся хорошие солдаты. Спасибо.
dlga_lord_talk:companion_lord_trade|Друг, позволь мне заглянуть к тебе в инвентарь.
dlga_companion_lord_trade:do_companion_lord_trade|Очень хорошо, все здесь...
dlga_do_companion_lord_trade:lord_talk|Что-нибудь еще, мо{reg63?й король:я королева}?
dlga_lord_talk:view_companion_lord_char_requested|Мой друг, что ты можешь поведать о своих навыках?
dlga_view_companion_lord_char_requested:do_companion_lord_view_char|А, хорошо, позвольте рассказать вам...
dlga_do_companion_lord_view_char:lord_talk|Что еще вас интересует, {reg63?сэр:мадам}?
dlga_lord_talk:lord_give_order_ask|У меня для вас новое задание.
dlga_lord_talk:lord_give_suggestion_ask|Могу я предложить план действий?
dlga_lord_give_order_ask:lord_give_order|Да?
dlga_lord_give_suggestion_ask:lord_give_order|Я исполню Ваше распоряжение, {reg63?Сир:Ваше Высочество}. Если желаете руководит большой кампанией, можете назначить себя маршалом, так будет меньше путаницы.
dlga_lord_give_suggestion_ask:lord_pretalk|Прошу прощения, но я слишком плохо вас знаю, чтобы последовать вашему совету.
dlga_lord_give_suggestion_ask:lord_give_order.1|Что это?
dlga_lord_give_order:lord_give_order_answer|Следуйте за мной.
dlga_lord_give_order:lord_give_order_answer.1|Вы последуете за мной? У меня есть план!
dlga_lord_give_order:lord_give_order_details_ask|Отправляйтесь в...
dlga_lord_give_order:lord_give_order_details_ask.1|Совершите налет на деревню...
dlga_lord_give_order:lord_give_order_details_ask.2|Патрулируйте окрестности...
dlga_lord_give_order:lord_give_order_assault|Вместе мы сможем захватить {s11}. Но выдвигаться стоит немедленно...
dlga_lord_give_order:lord_give_order_details_ask.3|На нас напали, но врага можно обратить в бегство. Вам стоит двинуться к...
dlga_lord_give_order:lord_give_order_details_ask.4|На нас напали, но врага можно обратить в бегство. Вам стоит собрать армию и двигаться к...
dlga_lord_give_order_assault:lord_pretalk|Этой осадой командует {s4}. Предлагаю с {reg4?ней:ним} поговорить.
dlga_lord_give_order_assault:lord_pretalk.1|Наши приготовления еще не окончены. {s11} еще не с нами.
dlga_lord_give_order_assault:close_window|Так и быть, на стены!
dlga_lord_give_order:lord_give_order_details_ask.5|Здесь есть крепость, которую будет несложно захватить. Отправляйтесь в...
dlga_lord_give_order:lord_give_order_details_ask.6|Сюда идут бесчисленные вражеские войска. Отступайте к...
dlga_lord_give_order:lord_give_order_stop|Некоторое время вы не будете мне нужны. Можете заняться своими делами.
dlga_lord_give_order:lord_give_order_stop.1|Вы больше не должны сопровождать меня.
dlga_lord_give_order:lord_pretalk|Не важно.
dlga_lord_give_order_details_ask:lord_pretalk|Я не стану поджимать хвост и убегать от врага, даже не увидев его воинов.
dlga_lord_give_order_details_ask:lord_pretalk.1|Хотите, чтобы мои люди истекли кровью под стенами крепости, пока остальные будут стоять и смотреть? Ну уж нет.
dlga_lord_give_order_details_ask:lord_give_order_details|Где?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Неважно.
dlga_lord_give_order_stop:lord_pretalk|Хорошо. На этом я и остановлюсь.
dlga_lord_give_order_answer:lord_give_order|Сомневаюсь, что это правильно. Логичнее вам следовать за мной. Или у вас другие идеи?
dlga_lord_give_order_answer:lord_pretalk|Хорошо. Я так и сделаю.{s12}
dlga_lord_give_order_answer:lord_pretalk.1|Простите. Сейчас мне пора заняться своими делами.
dlga_lord_start:lord_talk.5|Что это?
dlga_lord_talk:lord_give_order_call_to_arms_verify|Я хочу начать новую кампанию. Давайте соберем здесь армию.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Вы хотите собрать всех лордов для новой кампании?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Да, надо собрать все наши силы, прежде чем мы выступим на врага.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Думаю, все-таки нет необходимости призывать всех и каждого.
dlga_lord_give_order_call_to_arms:lord_pretalk|Ладно. Я разошлю гонцов с приказом каждому прибыть сюда.
dlga_lord_talk:lord_give_order_disband_army_verify|Я хочу завершить эту кампанию и распустить всех по домам.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Вы хотите закончить текущую кампанию и отпустить со службы всех вассалов?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Да. Все силы здесь нам больше не требуются.
dlga_lord_give_order_disband_army_2:lord_pretalk|Думаю, лучше пока держаться вместе.
dlga_lord_give_order_disband_army:lord_pretalk|Хорошо. Я дам всем знать, что они могут быть свободны.
dlga_lord_talk:lord_talk_ask_something|Мне бы хотелось кое-что спросить.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Да? И что же?
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Что-нибудь еще?
dlga_lord_talk_ask_something_2:ask_companions_for_unique_troops|Я ищу хороших солдат, друг мой. Не могли бы вы мне помочь?
dlga_ask_companions_for_unique_troops:close_window|К сожалению, сейчас я не смогу вам помочь. Попробуйте спросить меня на следующей неделе.
dlga_ask_companions_for_unique_troops:close_window.1|Я бы мог вам помочь, но у вас не хватает места в отряде для новых воинов.
dlga_ask_companions_for_unique_troops:ask_companions_for_unique_troops_2|{reg63?Господин:Госпожа}, возможно, я смогу вам помочь. ^^Не так давно я видел, как {s0} напивался вместе с несколькими своими товарищами. Дайте мне, скажем, {reg37} динаров и я попроую их уговорить присоединиться к нашему отряду. Назначу встречу в таверне или гостиннице. Солдатам сложно устоять перед звонкой монетой. ^^Что вы думаете о моем плане?
dlga_ask_companions_for_unique_troops_2:close_window|Немного дороговато, но я принимаю ваше предожение. Вот деньги.
dlga_ask_companions_for_unique_troops_2:close_window.1|Ваше предложение разумно, но я не могу потратить столько динар.
dlga_ask_companions_for_unique_troops_2:close_window.2|Это слишком дорого!
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Мне нужно узнать, где находится один человек.
dlga_lord_talk_ask_something_2:lord_tell_news|Что нового?
dlga_lord_tell_news:lord_pretalk|{s4}
dlga_lord_talk_ask_something_2:lord_tell_objective|Что вы и ваши люди тут делаете?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|Как дела в государстве?
dlga_lord_talk_ask_about_strategy:lord_pretalk|Вы должны решить это, поскольку вы - маршал.
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Как дела на войне?
dlga_lord_talk_ask_something_2:lord_ask_exchange_fiefs|Не желаете ли вы обменяться владениями?
dlga_lord_ask_exchange_fiefs:lord_select_his_fief|Это зависит от того, какое мое владение вас интересует.
dlga_lord_select_his_fief:lord_pretalk|Неважно.
dlga_lord_select_his_fief:lord_respond_exchange_fiefs_his_fief|{s13}
dlga_lord_respond_exchange_fiefs_his_fief:lord_select_my_fief|Так, значит {s13} . Интересно. Но какое владение вы предлагаете в обмен?
dlga_lord_select_my_fief:lord_pretalk|Неважно.
dlga_lord_select_my_fief:lord_respond_exchange_fiefs_my_fief|{s12}
dlga_lord_respond_exchange_fiefs_my_fief:lord_agree_or_not_to_fief_exchange|Хммм. Это предложение не выгодно для меня. Тем не менее, я соглашусь на него. Пусть это будет знаком моей доброй воли, но вы должны заплатить мне {reg26} динаров, чтобы компенсировать понесенные потери.
dlga_lord_respond_exchange_fiefs_my_fief:lord_agree_or_not_to_fief_exchange.1|Хорошо, {playername}. Ваше предложение выглядит разумным и справедливым.  Итак, мы договорились?
dlga_lord_respond_exchange_fiefs_my_fief:lord_agree_or_not_to_fief_exchange.2|Отличное предложение, {playername}! Я даже доплачу вам {reg61} динаров сверху! Итак, мы договорились?
dlga_lord_agree_or_not_to_fief_exchange:lord_pretalk|Я передумал.
dlga_lord_agree_or_not_to_fief_exchange:lord_confirm_exchange_fiefs|Договорились!
dlga_lord_confirm_exchange_fiefs:lord_pretalk|Великолепно! По условиям нашего соглашения, я передаю вам {s13}, а вы передаете мне {s12}.
dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
dlga_lord_marriage_permission:lord_pretalk|Святые небеса! Если я не разрешаю вам даже повидаться с ней, с какой стати мне благословлять ваш брак?
dlga_lord_marriage_permission:lord_pretalk.1|Моя {s11} не будет отдана замуж против ее воли.
dlga_lord_marriage_permission:lord_pretalk.2|Простите, молодой человек. {s11} не будет отдана замуж за вас. Пусть лучше ее мужем будет {s12}.
dlga_lord_marriage_permission:lord_marriage_permission_endowment|Прекрасные новости, молодой человек! Я с радостью введу вас в нашу семью. Однако давайте обсудим условия брака. Согласно традиции, каждый из нас должен позаботиться о том, чтобы {s11} жила безбедно даже в случае непредвиденных обстоятельств.
dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|Принимая во внимание высокий статус наших домов, я считаю, что вы можете собрать приданое в {reg3}, а я - в {reg4} динаров. Эта сумма станет залогом благосостояния вашей супруги на случай, если вы не сможете обеспечить ей безбедную жизнь. Что скажете?
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Хорошо, так и сделаем.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|Пока что я не могу себе это позволить.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|Это слишком много.
dlga_lord_marriage_permission_endowment_answer_no:close_window|Что ж. Принимая во внимание традиции и правила приличия, я не стану обрекать свою дочь на нищее существование. Если что-то придумаете, дайте мне знать.
dlga_lord_marriage_permission_engagement_date:close_window|Чудно! Можете считать, что вы официально помолвлены. По этому поводу я устрою в {s24} большой пир, как только смогу. Разумеется, вам сообщат, когда все будет готово.
dlga_lord_marriage_permission_engagement_date:close_window.1|К сожалению, осталась одна маленькая трудность - у нас нет безопасного места для проведения свадебной церемонии. Поэтому давайте пока воздержимся от свадьбы.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|Ничего страшного, просто найдите нужную сумму. Я хочу, чтобы моя дочь ни в чем не нуждалась.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|Какая жалость. Но я бы пошел против своего родительского долга, если бы отпустил от себя дочурку без хорошего приданого.
dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10}, {s14} {s12} будет здесь?
dlga_lord_courtship_permission:lord_pretalk|До меня доходили слухи, что вы уже говорили с ней, не получив моего разрешения. Вот, что я на это скажу: я - ее защита и опора, и у меня на нее есть планы. Я не собираюсь терпеть перешептывания за спиной. Я в доме хозяин!
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|Что нужно сделать, чтобы заключить прочный союз с вашим домом?
dlga_lord_talk_ask_something_2:lord_change_culture|Я хочу, чтобы вы обучали солдат в соответствии с обычаями моего королевства.
dlga_lord_change_culture:lord_pretalk|Извините, {reg63?мой король:моя королева}, я не могу переобучить своих солдат в отряде.
dlga_lord_change_culture:lord_change_culture_1|Вы уверены, {reg63?мой король:моя королева}?
dlga_lord_change_culture_1:lord_change_culture_2|Да, выполняйте мой приказ.
dlga_lord_change_culture_1:lord_change_culture_2_no|Подождите! Возможно, сохранение разнообразия в войсках поможет нашей новой стратегии.
dlga_lord_change_culture_2_no:lord_talk_ask_something_2|Как пожелаете, {reg63?мой король:моя королева}.
dlga_lord_change_culture_2:lord_talk_ask_something_2|Как пожелаете, {reg63?мой король:моя королева}, хотя мне тяжело отказываться от традиций предков.
dlga_lord_talk_ask_something_2:lord_pretalk|Не имеет значения.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Ладно. Может, я отвечу, а может - нет. О ком вы хотите узнать?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lady_pretalk|Неважно. 
dlga_lord_talk_ask_location_2:lord_pretalk|Забудьте.
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Расскажите о войне с {s1}.
dlga_lord_talk_ask_about_war_2:lord_pretalk|Это все, что мне нужно было знать. Благодарю вас.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|У вас были другие вопросы?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Наш лидер {s4} чересчур осторож{reg4?на:ен}. {reg4?Ей:Ему} следует либо напасть на врага во главе армии, либо отправляться домой.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Наша армия топчется на одном месте и ничего не делает. Очевидно, на призыв ответило слишком мало вассалов. Возможно, {s4} не пользуется особой поддержкой лордов этого королевства.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|Я не соглашаюсь с этой стратегией. Считаю, что было бы лучше {s4}.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|Лично я считаю, что лучше напасть на {s8}, но наш главнокомандующий, {s10}, считает, что это {s9}
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|Лично я считаю, что лучше оборонять {s8} вместо {s9}.
dlga_lord_strategy_follow_evaluation:lord_talk|Что-нибудь еще?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|Эта стратегия кажется мне разумной.
dlga_lord_strategy_follow_up:lord_strategy_why_not|Если вы атакуете, то почему не...
dlga_lord_strategy_follow_up:lord_talk_ask_something_again|Понятно...
dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Так вы хотите сказать, что {s4} не должен оставаться главнокомандующим?
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|Надеюсь, что наше королевство решит вопрос с {s4} до того, как мы начнем обсуждать отставку главнокомандующего.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Да. Моя позиция по этому вопросу совершенно ясна. Полагаю, что {s4} должен стать главнокомандующим вместо {s4}.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|Я определюсь с решением и без ваших подсказок, {reg63?сударь:миледи}.
dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Хмм...
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Полагаю, что да. А то уже хотелось сказать, что мной поддерживается {s15}. Хорошо, что мы с вами это обсудили, и теперь я знаю, что мы одного мнения по этому поводу.
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Не обязательно. {s4} и я можем иметь разное мнение по поводу стратегии, но это не значит, что я стремлюсь к его отставке.
dlga_lord_strategy_why_not:lord_strategy_why_not_select|Да?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Ничего.
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|...продолжение атаки на {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|...защита {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|...нападение на {s4}?
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Наш главнокомандующий {s11} полагает, что {s8} {s9}{s10}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|Мы можем пойти туда. {s7} Однако, {s5} {s3} {s4}. {s6} {s8}.
